,sentyr,judgeid,disparity_race,monsex_disparity,nocounts_disparity,gender,x_black,x_dem,aba_best,christian
3736,2008,"STORY, RICHARD W.",-0.003909919876605272,0.30000001192092896,1.7142857313156128,1.0,0.0,1.0,1.0,1.0
2025,2008,"KELLY, ROBERT F.",-0.004861119203269482,0.0,-1.9166667461395264,1.0,0.0,0.0,1.0,0.0
684,2007,"COLLIER, CURTIS L.",0.1473953127861023,-0.12765957415103912,-0.18593883514404297,1.0,1.0,1.0,1.0,1.0
3759,2006,"SUKO, LONNY R.",-0.10412652045488358,-0.0882352963089943,0.1274510622024536,1.0,0.0,0.0,1.0,0.0
888,2003,"DAVIS, LEONARD E.",-0.12633049488067627,0.4375,-0.4375,1.0,0.0,0.0,1.0,1.0
3890,2004,"TORRES, ERNEST C.",0.06692761182785034,-0.03846153989434242,-1.6282051801681519,1.0,0.0,0.0,1.0,0.0
4283,2011,"ZAGEL, JAMES B.",0.026405632495880127,0.04999999701976776,0.04999995231628418,1.0,0.0,0.0,0.0,0.0
1290,2011,"FROST, GREGORY L.",0.06823579967021942,0.375,1.4107142686843872,1.0,0.0,0.0,1.0,0.0
3575,2007,"SMITH, WALTER S., JR.",-0.024688974022865295,-0.05324728786945343,0.34368693828582764,1.0,0.0,0.0,1.0,1.0
2991,2008,"POLSTER, DAN A.",0.027064014226198196,-0.20000000298023224,0.3142857551574707,1.0,0.0,1.0,1.0,0.0
24,2006,"AFRICK, LANCE M.",0.056091390550136566,0.009090907871723175,1.2681819200515747,1.0,0.0,0.0,1.0,0.0
1256,2010,"FRANK, DONOVAN W.",0.022410975769162178,-0.1818181872367859,-0.29924237728118896,1.0,0.0,1.0,0.0,1.0
1749,2005,"HOLMES, SVEN E.",0.0,-0.1666666716337204,-0.8333333730697632,1.0,0.0,1.0,0.0,1.0
1134,2006,"EVANS, ORINDA D.",0.013318443670868874,0.06666667014360428,-1.5055556297302246,0.0,0.0,1.0,0.0,1.0
1109,2007,"ENGELHARDT, KURT D.",0.047268837690353394,0.0,-0.16666662693023682,1.0,0.0,0.0,0.0,0.0
3343,2010,"SCHLESINGER, HARVEY E.",0.04155305400490761,-0.20000000298023224,0.3333333730697632,1.0,0.0,0.0,1.0,0.0
2063,2005,"KING, GARR M.",-0.020346492528915405,-0.05128205195069313,-0.12820518016815186,1.0,0.0,1.0,0.0,0.0
3295,2006,"SARIS, PATTI B.",0.0513109490275383,-0.15789473056793213,-1.989473819732666,0.0,0.0,1.0,0.0,0.0
1061,2003,"DUGGAN, PATRICK J.",0.0,0.3333333432674408,0.0,1.0,0.0,0.0,1.0,0.0
3187,2010,"RODRIGUEZ, JOSEPH H.",0.012168718501925468,-0.10000000149011612,-0.05714285373687744,1.0,0.0,0.0,0.0,0.0
1307,2009,"FULLER, MARK E.",-0.06953310966491699,0.13333334028720856,1.5499999523162842,1.0,0.0,0.0,0.0,0.0
2038,2007,"KENNELLY, MATTHEW F.",-0.060936685651540756,-0.02521008998155594,0.5042016506195068,1.0,0.0,1.0,1.0,0.0
2531,2007,"MCKINNEY, LARRY J.",0.05958815664052963,0.0277777798473835,0.3888888359069824,1.0,0.0,0.0,1.0,1.0
2789,2005,"NANGLE, JOHN F.",-0.007999991998076439,-0.13333334028720856,0.0,1.0,0.0,0.0,0.0,1.0
3167,2010,"ROBINSON, JULIE A.",0.08140812814235687,-0.21739129722118378,-0.8862875699996948,0.0,1.0,0.0,1.0,1.0
4206,2004,"WOLLE, CHARLES R.",-0.1587301641702652,0.0,-0.3333333730697632,1.0,0.0,0.0,1.0,1.0
4104,2004,"WEXLER, LEONARD D.",0.027547579258680344,0.05833332985639572,-0.08333337306976318,1.0,0.0,0.0,0.0,0.0
